date,temperature,humidity,rainfall
2024-08-01,32.5,68,4.2
2024-08-02,33.1,70,5.0
2024-08-03,31.8,65,0.0
2024-08-04,32.0,67,1.5
2024-08-05,33.4,72,3.8
2024-08-06,34.1,74,6.1
2024-08-07,33.8,71,2.4
2024-08-08,32.9,69,0.0
2024-08-09,31.5,66,1.2
2024-08-10,30.8,64,0.0
2024-08-11,31.2,63,0.0
2024-08-12,32.6,68,2.1
2024-08-13,33.0,70,4.0
2024-08-14,34.2,73,5.3
2024-08-15,32.8,69,0.0
2024-08-16,31.9,65,0.0
2024-08-17,30.7,63,0.0
2024-08-18,31.4,64,1.0
2024-08-19,32.3,67,3.0
2024-08-20,33.5,71,4.4
2024-08-21,34.0,72,5.8
2024-08-22,33.2,70,2.5
2024-08-23,32.1,67,0.0
2024-08-24,31.0,64,0.0
2024-08-25,30.9,63,0.0
2024-08-26,31.8,66,1.8
2024-08-27,32.7,69,2.9
2024-08-28,33.6,71,4.7
2024-08-29,34.3,73,6.2
2024-08-30,33.9,72,3.3

